category,artifact_group,source_root,github_export_path,git_policy,notes
code,current HHT residual pipeline,C:\Users\clive\Documents\Cosmology,github_export/code/hht_cmb_sn,track,Current HHT resonance/surrogate/export scripts copied with original names.
code,legacy HHT and CMB-SN sketches,C:\Users\clive\Documents\Cosmology\.spyder-py3,github_export/code/hht_cmb_sn/legacy,track,Legacy scripts copied with normalized ASCII filenames for provenance.
results,modern HHT SN residual export,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\hht_resonance,github_export/results/2026-07-14/hht_cmb_sn/sn_residuals_for_hht_2026-07-14.csv,track,Matched LCDM/SU2/SU2R SN+BAO+Planck residual series.
results,modern extended real-data HHT export,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\hht_resonance,github_export/results/2026-07-14/hht_cmb_sn/extended_realdata_pulls_for_hht_2026-07-14.csv,track,SN-bin plus BAO plus CC pull series for HHT screening.
results,modern HHT surrogate controls,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\hht_resonance,github_export/results/2026-07-14/hht_cmb_sn/hht_surrogate_*_2026-07-14.*,track,Shuffled-order controls for extended HHT residual features.
results,modern SU2 Quaia CMB-projected HHT series,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\hht_resonance,github_export/results/2026-07-14/hht_cmb_sn/hht_resonance_csv_SU2_Quaia_*_cmb_*_2026-07-14.*,track,Captured because labels explicitly record CMB-projected Quaia quantities.
results,legacy IMF frequency vs BAO scale,C:\Users\clive\Documents\Cosmology\.spyder-py3\plamb_runs\hht_imf_freq_vs_bao,github_export/results/2026-07-14/hht_cmb_sn/legacy_hht_imf_freq_vs_bao_*_2026-07-14.*,track,Older IMF2/IMF3 BAO-lock summaries and fit table.
results,legacy SN HHT FRPBH products,C:\Users\clive\Documents\Cosmology\.spyder-py3\plamb_runs\hht_sn_FRPBH*,github_export/results/2026-07-14/hht_cmb_sn/legacy_hht_sn_FRPBH_*_2026-07-14.*,track,Small IMF stats and heatmap p tables only; plots and NPZ detail excluded.
results,legacy HHT BAO-lock products,C:\Users\clive\Documents\Cosmology\.spyder-py3\plamb_runs\hht_bao_lock_real,github_export/results/2026-07-14/hht_cmb_sn/legacy_hht_bao_lock_real_*_2026-07-14.csv,track,Small p-value/stat tables only; plots excluded.
results,legacy hht_bridge summaries,C:\Users\clive\Documents\Cosmology\.spyder-py3\plamb_runs\hht_bridge,github_export/results/2026-07-14/hht_cmb_sn/legacy_hht_bridge_*_2026-07-14.*,track,Posterior-link summaries and seed-grid aggregate summaries; chains/logs excluded.
excluded,large chains and binary details,C:\Users\clive\Documents\Cosmology\.spyder-py3\plamb_runs\hht_bridge,not copied,do not track,Excluded flat_chain.npy flat_ln.npy hht_export_samples.csv NPZ detail files plots logs and docx reports.
